idbase,arrondissement,adresse,genre,espece,latitude,longitude
135164,PARIS 17E ARRDT,SQUARE DES BATIGNOLLES / 144 RUE CARDINET,Prunus,mahaleb,48.8877237,2.3154458
299390,PARIS 13E ARRDT,RUE SIMONE WEIL,Prunus,,48.8236361,2.3639660
2039662,PARIS 17E ARRDT,PARC CLICHY BATIGNOLLES MARTIN LUTHER KING / 147 RUE CARDINET,Prunus,x subhirtella,48.8896450,2.3157608
2042211,PARIS 18E ARRDT,PARC CHAPELLE CHARBON - 5Z RUE DE LA CROIX MOREAU,Prunus,avium,48.8963396,2.3652860
247334,PARIS 14E ARRDT,RUE DE GERGOVIE,Prunus,,48.8336420,2.3150114
2001798,PARIS 10E ARRDT,RUE TAYLOR,Prunus,x schmittii,48.8693340,2.3590405
2050316,PARIS 15E ARRDT,JARDIN DES MARTYRS JUIFS / 4 QUAI DE GRENELLE,Prunus,,48.8544647,2.2881897
2039084,PARIS 17E ARRDT,PARC CLICHY BATIGNOLLES MARTIN LUTHER KING / 147 RUE CARDINET,Prunus,,48.8900021,2.3137974
2031739,PARIS 16E ARRDT,SQUARE DU MUSEE GALLIERA / 10 AVENUE PIERRE 1ER DE SERBIE,Prunus,,48.8653110,2.2960985
243630,PARIS 20E ARRDT,RUE PELLEPORT,Prunus,,48.8701177,2.3996619
121291,PARIS 13E ARRDT,SQUARE FLORENCE BLUMENTHAL,Prunus,serrulata,48.8275320,2.3674450
203372,PARIS 20E ARRDT,RUE BELGRAND,Prunus,x schmittii,48.8648158,2.3993259
119311,PARIS 18E ARRDT,SQUARE RAYMOND QUENEAU,Prunus,,48.8958301,2.3608753
285121,PARIS 10E ARRDT,RUE DE PARADIS,Prunus,avium,48.8750737,2.3524586
165111,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 22,Prunus,,48.9055422,2.4025406
299637,PARIS 13E ARRDT,RUE SIMONE WEIL,Prunus,,48.8236707,2.3638714
2022107,PARIS 19E ARRDT,TALUS N°24-07,Prunus,x schmittii,48.9000998,2.3723949
164440,VAL-DE-MARNE,CIMETIERE DE THIAIS / AVENUE C / DIV 28,Prunus,avium,48.7623229,2.3718866
124302,PARIS 5E ARRDT,SQUARE RENE VIVIANI MONTEBELLO / 2 RUE DU FOUARRE,Prunus,avium,48.8517718,2.3475177
120520,PARIS 18E ARRDT,SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE,Prunus,,48.8859997,2.3447703
127307,PARIS 13E ARRDT,SQUARE MAIL DE BIEVRE,Prunus,,48.8296016,2.3448905
188705,PARIS 4E ARRDT,ECOLE POLYVALENTE / 22 RUE DE L AVE MARIA,Prunus,x schmittii,48.8534479,2.3596636
130198,PARIS 15E ARRDT,PARC ANDRE CITROEN,Prunus,x subhirtella,48.8427523,2.2748327
2018713,PARIS 19E ARRDT,JARDIN CURIAL - CITE MICHELET / 94 RUE CURIAL,Prunus,serrulata,48.8957127,2.3758474
164496,VAL-DE-MARNE,CIMETIERE DE THIAIS / AVENUE C / DIV 38,Prunus,avium,48.7629700,2.3743855
186756,PARIS 16E ARRDT,ECOLE MATERNELLE / 15B RUE SAINT DIDIER,Prunus,sargentii,48.8658291,2.2875473
116662,PARIS 20E ARRDT,SQUARE DES SAINT SIMONIENS MENILMONTANT / 2 RUE DE LA DUEE,Prunus,,48.8706848,2.3961424
110609,PARIS 15E ARRDT,PARC GEORGES BRASSENS / 2 PLACE JACQUES MARETTE,Prunus,,48.8309654,2.2996128
190507,PARIS 19E ARRDT,ECOLE ELEMENTAIRE / 160 AVENUE JEAN JAURES,Prunus,serrulata,48.8868533,2.3884184
227493,PARIS 13E ARRDT,RUE BRILLAT SAVARIN,Prunus,,48.8235080,2.3429118
137533,PARIS 13E ARRDT,SQUARE HELOISE ET ABELARD / 15 RUE DUCHEFDELAVILLE,Prunus,,48.8313104,2.3702066
2042285,PARIS 15E ARRDT,SQUARE DES PERICHAUX / 123 BOULEVARD LEFEBVRE,Prunus,avium,48.8294791,2.2998120
133795,PARIS 15E ARRDT,JARDIN ALLERAY PROCESSION / 79 RUE D ALLERAY,Prunus,,48.8365738,2.3081192
189895,PARIS 20E ARRDT,ECOLE MATERNELLE / 99 RUE PYRENEES,Prunus,avium,48.8550526,2.4050399
128876,PARIS 15E ARRDT,PARC ANDRE CITROEN,Prunus,avium,48.8382460,2.2778812
188608,PARIS 13E ARRDT,ECOLE ELEMENTAIRE / 11 RUE PIERRE GOURDAULT,Prunus,x subhirtella,48.8309497,2.3707011
164989,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 71,Prunus,,48.9030149,2.4079119
192199,PARIS 18E ARRDT,TALUS N°23-10,Prunus,,48.9014656,2.3613002
190481,PARIS 19E ARRDT,ECOLE MATERNELLE / 11 RUE GEORGES THILL,Prunus,serrulata,48.8866117,2.3885451
